isbn,source,title,authors,pages,publish_date,publishers,subjects,raw_extra
9780141439808,openlibrary,Mansfield Park,,480,1846,Simms and M'Intyre,,"{'title': 'Mansfield Park', 'pages': 480, 'publish_date': '1846', 'publishers': ""Simms and M'Intyre""}"
9780141439808,loc,Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975,,,1975,,"sources, copyright registration, history, united states, copyright","{'title': 'Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975', 'authors': '', 'publish_date': '1975', 'subjects': 'sources, copyright registration, history, united states, copyright'}"
9780141439808,biblio,,,,,,,{}
9780141439808,alibris,,,,,,,{}
9780316056892,openlibrary,Bossypants,,272,2013,Little Brown & Company,,"{'title': 'Bossypants', 'pages': 272, 'publish_date': '2013', 'publishers': 'Little Brown & Company'}"
9780316056892,loc,Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975,,,1975,,"sources, history, copyright, united states, copyright registration","{'title': 'Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975', 'authors': '', 'publish_date': '1975', 'subjects': 'sources, history, copyright, united states, copyright registration'}"
9780316056892,biblio,,,,,,,{}
9780316056892,alibris,,,,,,,{}
9780061120084,openlibrary,To Kill a Mockingbird,,323,2006,Harper Perennial Modern Classics,,"{'title': 'To Kill a Mockingbird', 'pages': 323, 'publish_date': '2006', 'publishers': 'Harper Perennial Modern Classics'}"
9780061120084,loc,Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975,,,1975,,"sources, history, copyright, united states, copyright registration","{'title': 'Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975', 'authors': '', 'publish_date': '1975', 'subjects': 'sources, history, copyright, united states, copyright registration'}"
9780061120084,biblio,,,,,,,{}
9780061120084,alibris,,,,,,,{}
9780385494122,openlibrary,,,,,,,{}
9780385494122,loc,Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975,,,1975,,"sources, copyright registration, history, united states, copyright","{'title': 'Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975', 'authors': '', 'publish_date': '1975', 'subjects': 'sources, copyright registration, history, united states, copyright'}"
9780385494122,biblio,,,,,,,{}
9780385494122,alibris,,,,,,,{}
9780735211292,openlibrary,Atomic Habits,,320,2018,"Avery, an Imprint of Penguin Random House LLC",,"{'title': 'Atomic Habits', 'pages': 320, 'publish_date': '2018', 'publishers': 'Avery, an Imprint of Penguin Random House LLC'}"
9780735211292,loc,Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975,,,1975,,"sources, copyright registration, history, united states, copyright","{'title': 'Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975', 'authors': '', 'publish_date': '1975', 'subjects': 'sources, copyright registration, history, united states, copyright'}"
9780735211292,biblio,,,,,,,{}
9780735211292,alibris,,,,,,,{}
9780553386790,openlibrary,A Game of Thrones,,720,2017,Bantam Books,,"{'title': 'A Game of Thrones', 'pages': 720, 'publish_date': '2017', 'publishers': 'Bantam Books'}"
9780553386790,loc,Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975,,,1975,,"united states, sources, history, copyright, copyright registration","{'title': 'Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975', 'authors': '', 'publish_date': '1975', 'subjects': 'united states, sources, history, copyright, copyright registration'}"
9780553386790,biblio,,,,,,,{}
9780553386790,alibris,,,,,,,{}
9780743273565,openlibrary,The Great Gatsby,,180,2004,Scribner,,"{'title': 'The Great Gatsby', 'pages': 180, 'publish_date': '2004', 'publishers': 'Scribner'}"
9780743273565,loc,Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975,,,1975,,"united states, sources, history, copyright, copyright registration","{'title': 'Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975', 'authors': '', 'publish_date': '1975', 'subjects': 'united states, sources, history, copyright, copyright registration'}"
9780743273565,biblio,,,,,,,{}
9780743273565,alibris,,,,,,,{}
9780140449136,openlibrary,Crime and punishment,,671,2003,Penguin,,"{'title': 'Crime and punishment', 'pages': 671, 'publish_date': '2003', 'publishers': 'Penguin'}"
9780140449136,loc,Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975,,,1975,,"united states, sources, history, copyright, copyright registration","{'title': 'Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975', 'authors': '', 'publish_date': '1975', 'subjects': 'united states, sources, history, copyright, copyright registration'}"
9780140449136,biblio,,,,,,,{}
9780140449136,alibris,,,,,,,{}
9780307277671,openlibrary,The Da Vinci Code,,454,2006-03,Anchor Books,,"{'title': 'The Da Vinci Code', 'pages': 454, 'publish_date': '2006-03', 'publishers': 'Anchor Books'}"
9780307277671,loc,Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975,,,1975,,"united states, sources, history, copyright, copyright registration","{'title': 'Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975', 'authors': '', 'publish_date': '1975', 'subjects': 'united states, sources, history, copyright, copyright registration'}"
9780307277671,biblio,,,,,,,{}
9780307277671,alibris,,,,,,,{}
9780679783275,openlibrary,"Moby Dick, or, The whale",,851,2000,Modern Library,,"{'title': 'Moby Dick, or, The whale', 'pages': 851, 'publish_date': '2000', 'publishers': 'Modern Library'}"
9780679783275,loc,Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975,,,1975,,"sources, copyright registration, history, united states, copyright","{'title': 'Copyright Record Book Class A Vol 3269; Registration Numbers 636000-636499; 1975', 'authors': '', 'publish_date': '1975', 'subjects': 'sources, copyright registration, history, united states, copyright'}"
9780679783275,biblio,,,,,,,{}
9780679783275,alibris,,,,,,,{}
